L	mc_start	mc_start_offset	mc_end	mc_end_offset	structure	transposition	comments	source
111-02	17	0	20	0	wt	0+1	alternating wt scales	Uchida
111-02	54	0	56	0	penta	Bb + E	alternating penta distant a tritone apart, chromatic movement	Uchida
113-02	1	0	4	0	penta		pentatonic tune alone	Schmitz
113-02	21	0	29	0	penta		pentatonic tune with accompainment of seconds	Schmitz
113-02	39	0	47	0	wt	0		Schmitz
113-04	65	0	67	0	octa		mc to check - score missing	Forte
117-02	42	0	48	0	penta	Eb		Loyd
117-02	1	0	42	0	wt	0		Loyd
117-02	1	0	5	0	wt	0	chromatic character, overlapping octa segments	Loyd
117-02	7	0	10	0	wt	0		Loyd
117-02	62	0	64	0	wt	0		Loyd
117-02	48	0	50	0	wt	0		Loyd
117-02	48	0	65	0	wt	0		Loyd
117-03	21	3/4	22	0	acoustic	G acoustic		Tymoczko
117-03	24	0	25	0	acoustic	G acoustic		Tymoczko
117-03	15	0	18	0	acoustic	C acoustic		Tymoczko
117-03	21	0	21	3/4	modal	D dorian		Tymoczko
117-03	23	0	24	0	modal	D dorian		Tymoczko
117-03	26	0	27	0	modal	Eb dorian		Tymoczko
117-03	1	0	5	2/4	modal	Bb phrygian	pentatonic tune	Tymoczko
117-03	9	0	13	0	modal	Eb dorian		Tymoczko
117-03	13	0	15	0	modal	Bb phrygian		Tymoczko
117-03	5	2/4	6	0	modal?	Gb Harmonic maj	pentatonic tune	Tymoczko
117-03	22	0	23	0	wt	1		Tymoczko
117-03	25	0	26	0	wt	0		Tymoczko
117-04	1	0	3	0	octa	(0,1)		Forte
117-04	46	0	48	0	octa	(0,1)	CHECK MC (Forte reports mm49-50)	Forte
117-05	1	0	3	0	penta			Kopp
117-05	1	0	7	0	penta			Kopp
117-05	14	0	18	0	penta			Kopp
117-05	18	0	21	0	majmin	B maj		Kopp
117-05	10	0	11	7/16	penta			Kopp
117-05	3	0	4	0	penta		D# odd note	Kopp
117-05	24	0	30	0	octa			Kopp
117-05	49	0	64	0	majmin	B maj	unresolved leading tones	Kopp
117-05	74	0	81	0	penta		penta RH+ chromaticism, check inconsistency with Tymoczko	Kopp
117-05	86	0	94	0	penta		check Tymoczko	Kopp
117-05	73	0	81	0	acoustic	E acoustic		Tymoczko
117-05	1	0	62	0	majmin	B maj	check Kopp's comment on conventional analysis	Tymoczko
117-05	81	0	86	0	majmin	B maj		Tymoczko
117-05	66	0	71	0	modal	G natural min (aeolian)	partially penta melodic theme, penta according to Kopp (combination of two penta sets)	Tymoczko
117-05	71	3/4	73	0	modal	G # dorian		Tymoczko
117-05	86	0	87	0	modal	B mixolydian	partially penta melodic theme, penta according to Kopp	Tymoczko
117-05	87	0	88	0	modal	B mixolydian		Tymoczko
117-05	86	0	92	0	modal	B mixolydian		Tymoczko
117-05	24	0	28	0	octa	0,1		Forte
117-06	33	0	34	3/4	octa	1,2		Forte
117-06	33	0	34	3/4	octa	1,2		Forte
117-08					penta		essentially the whole piece	O'Connell
117-08	8	0	10	0	wt + penta		penta melody over wt harmony	Uchida
117-11	82	0	86	0	octa		mc to check - score missing	Forte
123-01	1	0	2	0	octa?	0,1	Ab odd note	Parks
123-01	1	0	2	0	penta?		check "inconsistency" with Parks's analysis 	Webb
123-01	33	0	35	0	octa	0,2		Parks
123-01	36	0	38	0	octa	1,2		Parks
123-01	29	0	30	0	octa	0,1		Parks
123-01	30	0	31	0	octa	0,2		Parks
123-01	29	0	38	0	octa			Parks
123-02	2	0	4	0	octa	1,2		Forte
123-03	66	0	75	0	octa	1,2		Forte
123-04	58	0	67	0	octa	0,1		Forte
123-04	67	0	68	0	octa	1,2		Forte
123-05	7	0	8	0	majmin	Ab maj	E odd note	Alegant
123-05	23	0	29	0	majmin	Bb maj		Alegant
123-05	1	3/4	3	3/4	penta	Eb		Alegant
123-05	3	3/4	5	3/4	penta	Eb		Alegant
123-05	5	3/4	7	1	penta	Ab		Alegant
123-05	14	3/4	16	2/4	penta	Db and Ab penta		Alegant
123-06	54	0	57	1/4	octa	1,2		Forte
123-07	16	0	19	0	octa	1,2	chromatic character	Tobin
123-07	22	0	24	0	octa(?)	(0,1) (0,2) (1,2)	chromatic character, overlapping octa segments	Tobin
123-07	39	0	42	0	octa(?)	(0,1) (0,2) (1,2)	overlapping octa segments	Tobin
123-07	24	0	25	0	wt	1		Tobin
123-08	16	0	18	0	modal	D lydian	D lydian=wt 0 + wt 1	Tobin
123-08	11	0	14	0	octa	0,1		Tobin
123-08	1	0	2	0	octa	0,1	F odd note 	Tobin
123-08	48	0	49	3/8	octa	0,1		Tobin
123-08	62	0	65	0	octa	0,1		Tobin
123-08	4	1/4	5	0	octa	(0,1), (1,2)	mixed octatonics, but octatonic as a whole	Tobin
123-08	6	1/4	7	0	octa	(0,1), (1,2)	mixed octatonics, but octatonic as a whole	Tobin
123-08	7	1/4	8	0	octa	(0,1), (0,2)	mixed octatonics, but octatonic as a whole	Tobin
123-08	46	0	51	0	octa	0,1		Forte
123-12	51	0	52	0	octa	0,2	Bb odd note	Forte
123-12	17	0	18	0	penta			Tobin
123-12	1	0	3	0	wt(?)	0+1	alternating whole tone segments	Tobin
117-09	19	0	25	0	modal	Bb aeolian		Uchida
123-01	10	0	18	0	penta + majmin	F# penta + G maj	F#penta harmony accompanied by G maj triads -> bitonality	Uchida
136-07	7	0	10	0	penta 	Db	chromatic background + penta motive made of maj seconds	Uchida
136-07	11	0	10	0	penta 	F	chromatic background + penta motive-> tritones overall	Uchida
123-09	21	0	25	0	majmin	C		Webb
123-09	44	0	46	1	penta			Webb
