last_mc	last_mn	KeySig	TimeSig	label_count	composer	workTitle	movementNumber	movementTitle	workNumber	poet	lyricist	arranger	copyright	creationDate	mscVersion	platform	source	translator	musescore	ambitus	composed_end	composed_start	fnames	originalFormat	pdf	rel_paths	staff_1_ambitus	staff_1_instrument	staff_2_ambitus	staff_2_instrument	staff_3_ambitus	staff_3_instrument	transcriber	typesetter
255	255	1: 3, 115: 0, 160: 3	1: 4/4, 28: 3/8, 64: 4/4, 67: 3/8	0										2018-05-22	3.02	Microsoft Windows	http://musescore.com/user/33438643/scores/5835997		3.6.2	22-95 (Bb0-B6)	1904	1904	l106_isle			MS3	33-95 (A1-B6)	Piano	22-92 (Bb0-G#6)	Piano				https://musescore.com/user/31759
95	95	1: -5, 49: 0, 57: -3, 66: 3, 70: -5	1: 4/8, 11: 3/8, 12: 4/8	0	Claude Debussy	Images I Reflets dans l'eau						www.sheetmusiclibrary.website	www.sheetmusiclibrary.website	2021-03-27			http://musescore.com/user/7854941/scores/6800569		3.6.2	24-96 (C1-C7)	1904	1904	l110-01_images_reflets			MS3	49-96 (Db3-C7)	Piano	24-93 (C1-A6)	Piano				https://musescore.com/sheetmusiclibrary
76	76	1: 5, 51: 0, 57: 5	1: 3/2, 11: 4/2, 12: 3/2, 16: 1/2, 17: 3/2, 42: 2/2, 43: 3/2	0	Claude Debussy	Hommage à Rameau								2019-09-08	3.02	Apple Macintosh	http://musescore.com/user/4887176/scores/5715607		3.6.2	24-99 (C1-D#7)	1904	1904	l110-02_images_hommage			MS3	44-99 (G#2-D#7)	Piano	24-93 (C1-A6)	Piano				https://musescore.com/user/4887176
177	177	1: 0, 67: 2, 115: 0	1: 2/4	0	Claude Debussy	Mouvement (III)								2019-10-18	3.02	Apple Macintosh	http://musescore.com/user/4887176/scores/5835723		3.6.2	24-92 (C1-G#6)	1905	1905	l110-03_images_mouvement			MS3	52-92 (E3-G#6)	Piano	24-86 (C1-D6)	Piano				https://musescore.com/user/4887176
57	57	1: 1	1: 4/4	0	Claude Debussy	Et la lune descend sur le temple qui fut (2)	2	Images (Deuxième Série) 					Oli 2020	2020-06-14	3.02	Apple Macintosh	http://musescore.com/user/4887176/scores/6207140		3.6.2	26-95 (D1-B6)	1907	1907	l111-02_images_lune			MS3	59-95 (B3-B6)	Grand Piano	47-95 (B2-B6)	Grand Piano	26-81 (D1-A5)	Grand Piano		https://musescore.com/user/4887176
76	76	1: 0, 33: -2, 37: -4, 45: 0	1: 4/4	0										2022-01-26	3.02	Linux	https://musescore.com/nicolas/doctor-gradus-ad-parnassum		3.6.2	24-89 (C1-F6)	1908	1906	l113-01_childrens_doctor			MS3	36-89 (C2-F6)	Piano	24-79 (C1-G5)	Piano				https://musescore.com/nicolas
81	81	1: -2	1: 2/2	0										2022-01-26	3.02	Linux	https://musescore.com/nicolas/jimbos-lullaby		3.6.2	29-83 (F1-B5)	1908	1906	l113-02_childrens_jimbos			MS3	41-83 (F2-B5)	Piano	29-61 (F1-Db4)	Piano				https://musescore.com/nicolas
124	124	1: 4	1: 3/4	0	Claude Debussy	Serenade for the Doll								2019-05-20	3.02	Microsoft Windows	https://musescore.com/user/29737597/scores/5703647		3.6.2	40-88 (E2-E6)	1908	1908	l113-03_childrens_serenade			MS3	55-88 (G3-E6)	Piano	40-80 (E2-G#5)	Piano				https://musescore.com/user/29737597
128	128	1: -3, 47: -6, 90: -3	1: 2/4	0										2022-01-26	3.02	Linux	https://musescore.com/nicolas/golliwoggs-cakewalk		3.6.2	22-94 (Bb0-Bb6)	1908	1906	l113-05_childrens_golliwoggs			MS3	41-94 (F2-Bb6)	Piano	22-71 (Bb0-Cb5)	Piano				https://musescore.com/nicolas
31	31	1: 3	1: 4/4	0										2022-01-26	3.02	Linux	https://musescore.com/nicolas/the-little-shepherd		3.6.2	28-88 (E1-E6)	1908	1906	l113-05_childrens_little			MS3	56-88 (G#3-E6)	Piano	28-77 (E1-E#5)	Piano				https://musescore.com/nicolas
87	87	1: 0	1: 2/4	0	Claude Deubssy	Le petit nègre								2019-10-25	3.02	Microsoft Windows	http://musescore.com/user/19496546/scores/5815359		3.6.2	38-84 (D2-C6)	1909	1909	l114_petit			MS3	45-84 (A2-C6)	Piano	38-77 (D2-F5)	Piano				https://musescore.com/user/19496546
118	118	1: 1	1: 3/4, 23: 3/8, 87: 3/4, 89: 3/8, 113: 3/4, 115: 3/8	0	Claude Debussy	Hommage à Haydn								2021-06-27		Microsoft Windows	http://musescore.com/user/27291303/scores/6845062		3.6.2	24-98 (C1-D7)	1909	1909	l115_hommage			MS3	45-98 (A2-D7)	Piano	24-79 (C1-G5)	Piano				https://musescore.com/user/27291303
64	64	1: 0, 42: -5, 48: 0	1: 2/4	0										2021-10-20		Apple Macintosh	http://musescore.com/user/18230801/scores/7074797		3.6.2	34-98 (Bb1-D7)	1909	1909	l117-02_preludes_voiles			MS3	48-98 (C3-D7)	Piano	34-86 (Bb1-D6)	Piano				https://musescore.com/user/18230801
59	59	1: -6, 21: 0, 28: -6, 33: 0, 44: -6	1: 4/4	0	Claude Debussy (1862-1918)	Le Vent dans la plaine								2020-05-24	3.02	Apple Macintosh	http://musescore.com/user/6053266/scores/6170327		3.6.2	27-95 (Eb1-B6)	1909	1909	l117-03_preludes_vent			MS3	34-95 (Bb1-B6)	Grand Piano	27-76 (Eb1-E5)	Grand Piano				https://musescore.com/derek_john_benton
