slice	0	1	2	3	4	5	6	7	8	9	10	11
[206.0, 207.0)					0.5				0.25			0.25
[207.0, 208.0)					0.5				0.25			0.25
[208.0, 209.0)			0.5			0.25				0.25		
[209.0, 210.0)					0.5				0.25			0.25
[210.0, 211.0)					0.5				0.25			0.25
[211.0, 212.0)			0.5001250312578145			0.16654163540885222				0.33333333333333337		
[212.0, 213.0)						0.5		0.25				0.25
[213.0, 214.0)	0.25		0.25		0.25						0.25	
[214.0, 215.0)	0.25					0.5				0.25		
[215.0, 216.0)	0.25					0.5				0.25		
[216.0, 217.0)			0.5			0.25				0.25		
[217.0, 218.0)					0.5				0.25			0.25
[218.0, 219.0)					0.5				0.25			0.25
[219.0, 220.0)			0.5001250312578145			0.08327081770442611		0.08327081770442611		0.33333333333333337		
[220.0, 221.0)			0.5001250312578145			0.16654163540885222				0.33333333333333337		
[221.0, 222.0)					0.5				0.25			0.25
[222.0, 223.0)					0.5				0.25			0.25
[223.0, 224.0)					0.4				0.2			0.4
[224.0, 225.0)					0.25				0.25			0.5
[225.0, 226.0)		0.25					0.25			0.25		0.25
[226.0, 227.0)		0.25						0.25			0.25	0.25
[227.0, 228.0)					0.25				0.25			0.5
[228.0, 229.0)	0.25						0.25			0.25		0.25
[229.0, 230.0)				0.25					0.25			0.5
[230.0, 231.0)					0.25				0.25			0.5
[231.0, 232.0)					0.5				0.25			0.25
[232.0, 233.0)		0.25					0.25			0.25		0.25
[233.0, 234.0)				0.25					0.25			0.5
[234.0, 235.0)					0.25				0.25			0.5
[235.0, 236.0)		0.25			0.25				0.25			0.25
[236.0, 237.0)		0.25					0.25			0.25		0.25
[237.0, 238.0)				0.25006251562890724			0.08327081770442611		0.16654163540885222			0.5001250312578145
[238.0, 239.0)					0.25				0.25			0.5
[239.0, 240.0)					0.25				0.25			0.5
[240.0, 241.0)				0.25	0.25				0.25			0.25
[241.0, 242.0)		0.25			0.25							0.5
[242.0, 243.0)					0.25				0.25			0.5
[243.0, 244.0)		0.25			0.25				0.25			0.25
[244.0, 245.0)				0.25			0.25			0.25		0.25
[245.0, 246.0)				0.25			0.25			0.25		0.25
[246.0, 247.0)		0.25		0.25						0.25		0.25
[247.0, 248.0)		0.25		0.25			0.25			0.25		
[248.0, 249.0)		0.25					0.25			0.25		0.25
[249.0, 250.0)				0.25					0.25			0.5
[250.0, 251.0)					0.25				0.25			0.5
[251.0, 252.0)		0.25			0.25							0.5
[252.0, 253.0)		0.25					0.25			0.25		0.25
[253.0, 254.0)				0.25006251562890724			0.08327081770442611		0.16654163540885222			0.5001250312578145
[254.0, 255.0)					0.25				0.25			0.5
[255.0, 256.0)					0.25				0.25			0.5
[256.0, 257.0)		0.25			0.25			0.25				0.25
[257.0, 258.0)					0.5			0.25				0.25
[258.0, 259.0)				0.25			0.5					0.25
[259.0, 260.0)							0.5					0.5
