quarterbeats	duration_qb	mc	mn	mc_onset	mn_onset	timesig	staff	voice	duration	nominal_duration	scalar	tied	tpc	midi	volta	chord_id
27/2	0.5	4	4	3/8	3/8	4/4	2	1	1/8	1/8	1		6	54		36
27/2	0.5	4	4	3/8	3/8	4/4	1	1	1/8	1/8	1		8	68		29
14	0.5	4	4	1/2	1/2	4/4	2	1	1/8	1/8	1		5	47		37
14	1.0	4	4	1/2	1/2	4/4	1	1	1/4	1/4	1		6	66		30
29/2	0.5	4	4	5/8	5/8	4/4	2	1	1/8	1/8	1		6	54		38
15	0.5	4	4	3/4	3/4	4/4	2	1	1/8	1/8	1		2	62		39
15	0.5	4	4	3/4	3/4	4/4	1	1	1/8	1/8	1		4	64		31
31/2	0.5	4	4	7/8	7/8	4/4	2	1	1/8	1/8	1		6	54		40
31/2	0.5	4	4	7/8	7/8	4/4	1	1	1/8	1/8	1		2	62		32
16	0.5	5	5	0	0	4/4	2	1	1/8	1/8	1		6	42		46
16	1.0	5	5	0	0	4/4	1	1	1/4	1/4	1		7	61		41
33/2	0.5	5	5	1/8	1/8	4/4	2	1	1/8	1/8	1		7	49		47
17	0.5	5	5	1/4	1/4	4/4	2	1	1/8	1/8	1		3	57		48
17	0.5	5	5	1/4	1/4	4/4	1	1	1/8	1/8	1		2	62		42
35/2	0.5	5	5	3/8	3/8	4/4	2	1	1/8	1/8	1		7	49		49
35/2	0.5	5	5	3/8	3/8	4/4	1	1	1/8	1/8	1		4	64		43
18	0.5	5	5	1/2	1/2	4/4	2	1	1/8	1/8	1		3	45		50
18	1.0	5	5	1/2	1/2	4/4	1	1	1/4	1/4	1		6	66		44
37/2	0.5	5	5	5/8	5/8	4/4	2	1	1/8	1/8	1		6	54		51
19	0.5	5	5	3/4	3/4	4/4	2	1	1/8	1/8	1		7	61		52
19	1.0	5	5	3/4	3/4	4/4	1	1	1/4	1/4	1		3	69		45
39/2	0.5	5	5	7/8	7/8	4/4	2	1	1/8	1/8	1		6	54		53
20	0.5	6	6	0	0	4/4	2	1	1/8	1/8	1		7	49		55
20	4.0	6	6	0	0	4/4	1	1	1	1	1	1	8	68		54
41/2	0.5	6	6	1/8	1/8	4/4	2	1	1/8	1/8	1		8	56		56
21	0.5	6	6	1/4	1/4	4/4	2	1	1/8	1/8	1		4	64		57
43/2	0.5	6	6	3/8	3/8	4/4	2	1	1/8	1/8	1		8	56		58
22	0.5	6	6	1/2	1/2	4/4	2	1	1/8	1/8	1		5	47		59
45/2	0.5	6	6	5/8	5/8	4/4	2	1	1/8	1/8	1		8	56		60
23	0.5	6	6	3/4	3/4	4/4	2	1	1/8	1/8	1		7	61		61
47/2	0.5	6	6	7/8	7/8	4/4	2	1	1/8	1/8	1		8	56		62
24	0.5	7	7	0	0	4/4	2	1	1/8	1/8	1		3	45		70
24	0.5	7	7	0	0	4/4	1	1	1/8	1/8	1	-1	8	68		63
49/2	0.5	7	7	1/8	1/8	4/4	2	1	1/8	1/8	1		6	54		71
49/2	0.5	7	7	1/8	1/8	4/4	1	1	1/8	1/8	1		6	66		64
25	0.5	7	7	1/4	1/4	4/4	2	1	1/8	1/8	1		7	61		72
25	0.5	7	7	1/4	1/4	4/4	1	1	1/8	1/8	1		8	68		65
51/2	0.5	7	7	3/8	3/8	4/4	2	1	1/8	1/8	1		6	54		73
51/2	0.5	7	7	3/8	3/8	4/4	1	1	1/8	1/8	1		3	69		66
26	0.5	7	7	1/2	1/2	4/4	2	1	1/8	1/8	1		8	44		74
26	1.0	7	7	1/2	1/2	4/4	1	2	1/4	1/4	1		6	66		68
26	2.0	7	7	1/2	1/2	4/4	1	1	1/2	1/2	1	1	5	71		67
53/2	0.5	7	7	5/8	5/8	4/4	2	1	1/8	1/8	1		7	49		75
27	0.5	7	7	3/4	3/4	4/4	2	1	1/8	1/8	1		5	59		76
27	1.0	7	7	3/4	3/4	4/4	1	2	1/4	1/4	1		11	65		69
55/2	0.5	7	7	7/8	7/8	4/4	2	1	1/8	1/8	1		7	49		77
28	0.5	8	8	0	0	4/4	2	1	1/8	1/8	1		6	42		86
28	1.0	8	8	0	0	4/4	1	2	1/4	1/4	1		7	61		83
28	0.5	8	8	0	0	4/4	1	1	1/8	1/8	1	-1	5	71		78
57/2	0.5	8	8	1/8	1/8	4/4	2	1	1/8	1/8	1		7	49		87
57/2	0.5	8	8	1/8	1/8	4/4	1	1	1/8	1/8	1		3	69		79
29	0.5	8	8	1/4	1/4	4/4	2	1	1/8	1/8	1		3	57		88
29	0.5	8	8	1/4	1/4	4/4	1	1	1/8	1/8	1		5	71		80
59/2	0.5	8	8	3/8	3/8	4/4	2	1	1/8	1/8	1		7	49		89
59/2	0.5	8	8	3/8	3/8	4/4	1	1	1/8	1/8	1		7	73		81
30	0.5	8	8	1/2	1/2	4/4	2	1	1/8	1/8	1		5	47		90
30	1.0	8	8	1/2	1/2	4/4	1	2	1/4	1/4	1		3	69		84
30	2.0	8	8	1/2	1/2	4/4	1	1	1/2	1/2	1	1	2	74		82
61/2	0.5	8	8	5/8	5/8	4/4	2	1	1/8	1/8	1		4	52		91
31	0.5	8	8	3/4	3/4	4/4	2	1	1/8	1/8	1		2	62		92
31	1.0	8	8	3/4	3/4	4/4	1	2	1/4	1/4	1		8	68		85
63/2	0.5	8	8	7/8	7/8	4/4	2	1	1/8	1/8	1		4	52		93
32	0.5	9	9	0	0	4/4	2	1	1/8	1/8	1		3	45		101
32	1.0	9	9	0	0	4/4	1	2	1/4	1/4	1		4	64		99
32	0.5	9	9	0	0	4/4	1	1	1/8	1/8	1	-1	2	74		94
65/2	0.5	9	9	1/8	1/8	4/4	2	1	1/8	1/8	1		4	52		102
65/2	0.5	9	9	1/8	1/8	4/4	1	1	1/8	1/8	1		7	73		95
33	0.5	9	9	1/4	1/4	4/4	2	1	1/8	1/8	1		3	57		103
33	0.5	9	9	1/4	1/4	4/4	1	1	1/8	1/8	1		2	74		96
67/2	0.5	9	9	3/8	3/8	4/4	2	1	1/8	1/8	1		7	61		104
67/2	0.5	9	9	3/8	3/8	4/4	1	1	1/8	1/8	1		4	76		97
34	0.5	9	9	1/2	1/2	4/4	2	1	1/8	1/8	1		2	50		105
34	2.0	9	9	1/2	1/2	4/4	1	2	1/2	1/2	1	1	2	74		100
34	2.0	9	9	1/2	1/2	4/4	1	1	1/2	1/2	1	1	6	78		98
69/2	0.5	9	9	5/8	5/8	4/4	2	1	1/8	1/8	1		3	57		106
35	0.5	9	9	3/4	3/4	4/4	2	1	1/8	1/8	1		2	62		107
71/2	0.5	9	9	7/8	7/8	4/4	2	1	1/8	1/8	1		6	66		108
36	0.5	10	10	0	0	4/4	2	1	1/8	1/8	1		3	57		112
36	1.0	10	10	0	0	4/4	1	2	1/4	1/4	1	-1	2	74		111
36	2.0	10	10	0	0	4/4	1	1	1/2	1/2	1	-1	6	78		109
73/2	0.5	10	10	1/8	1/8	4/4	2	1	1/8	1/8	1		2	62		113
37	0.5	10	10	1/4	1/4	4/4	2	1	1/8	1/8	1		6	66		114
75/2	0.5	10	10	3/8	3/8	4/4	2	1	1/8	1/8	1		3	69		115
38	2.0	10	10	1/2	1/2	4/4	1	1	1/2	1/2	1	1	6	66		110
77/2	0.5	10	10	5/8	5/8	4/4	2	1	1/8	1/8	1		2	62		116
39	0.5	10	10	3/4	3/4	4/4	2	1	1/8	1/8	1		7	61		117
79/2	0.5	10	10	7/8	7/8	4/4	2	1	1/8	1/8	1		5	59		118
40	0.5	11	11	0	0	4/4	2	1	1/8	1/8	1		3	57		122
40	1.0	11	11	0	0	4/4	1	1	1/4	1/4	1	-1	6	66		119
81/2	0.5	11	11	1/8	1/8	4/4	2	1	1/8	1/8	1		7	61		123
41	0.5	11	11	1/4	1/4	4/4	2	1	1/8	1/8	1		3	57		124
41	1.0	11	11	1/4	1/4	4/4	1	1	1/4	1/4	1		7	73		120
83/2	0.5	11	11	3/8	3/8	4/4	2	1	1/8	1/8	1		6	54		125
42	0.5	11	11	1/2	1/2	4/4	2	1	1/8	1/8	1		8	56		126
42	2.0	11	11	1/2	1/2	4/4	1	1	1/2	1/2	1	1	5	71		121
85/2	0.5	11	11	5/8	5/8	4/4	2	1	1/8	1/8	1		5	59		127
43	0.5	11	11	3/4	3/4	4/4	2	1	1/8	1/8	1		4	64		128
87/2	0.5	11	11	7/8	7/8	4/4	2	1	1/8	1/8	1		6	54		129
44	0.5	12	12	0	0	4/4	2	1	1/8	1/8	1		4	52		136
44	1.0	12	12	0	0	4/4	1	1	1/4	1/4	1	-1	5	71		130
89/2	0.5	12	12	1/8	1/8	4/4	2	1	1/8	1/8	1		5	59		137
45	0.5	12	12	1/4	1/4	4/4	2	1	1/8	1/8	1		4	64		138
45	0.5	12	12	1/4	1/4	4/4	1	1	1/8	1/8	1		3	69		131
91/2	0.5	12	12	3/8	3/8	4/4	2	1	1/8	1/8	1		5	59		139
91/2	0.5	12	12	3/8	3/8	4/4	1	1	1/8	1/8	1		8	68		132
46	0.5	12	12	1/2	1/2	4/4	2	1	1/8	1/8	1		5	47		140
46	1.0	12	12	1/2	1/2	4/4	1	1	1/4	1/4	1		6	66		133
93/2	0.5	12	12	5/8	5/8	4/4	2	1	1/8	1/8	1		8	56		141
47	0.5	12	12	3/4	3/4	4/4	2	1	1/8	1/8	1		2	62		142
47	0.5	12	12	3/4	3/4	4/4	1	1	1/8	1/8	1		4	64		134
95/2	0.5	12	12	7/8	7/8	4/4	2	1	1/8	1/8	1		4	52		143
95/2	0.5	12	12	7/8	7/8	4/4	1	1	1/8	1/8	1		2	62		135
48	0.5	13	13	0	0	4/4	2	1	1/8	1/8	1		7	49		149
97/2	0.5	13	13	1/8	1/8	4/4	2	1	1/8	1/8	1		4	52		150
97/2	0.5	13	13	1/8	1/8	4/4	1	1	1/8	1/8	1		7	61		144
49	0.5	13	13	1/4	1/4	4/4	2	1	1/8	1/8	1		3	57		151
49	0.5	13	13	1/4	1/4	4/4	1	1	1/8	1/8	1		2	62		145
99/2	0.5	13	13	3/8	3/8	4/4	2	1	1/8	1/8	1		4	52		152
99/2	0.5	13	13	3/8	3/8	4/4	1	1	1/8	1/8	1		4	64		146
50	0.5	13	13	1/2	1/2	4/4	2	1	1/8	1/8	1		2	50		153
50	1.0	13	13	1/2	1/2	4/4	1	1	1/4	1/4	1		6	66		147
101/2	0.5	13	13	5/8	5/8	4/4	2	1	1/8	1/8	1		3	57		154
51	0.5	13	13	3/4	3/4	4/4	2	1	1/8	1/8	1		2	62		155
51	1.0	13	13	3/4	3/4	4/4	1	1	1/4	1/4	1		3	69		148
103/2	0.5	13	13	7/8	7/8	4/4	2	1	1/8	1/8	1		7	49		156
52	0.5	14	14	0	0	4/4	2	1	1/8	1/8	1		12	48		158
52	4.0	14	14	0	0	4/4	1	1	1	1	1	1	6	66		157
52	4.0	14	14	0	0	4/4	1	1	1	1	1	1	8	68		157
105/2	0.5	14	14	1/8	1/8	4/4	2	1	1/8	1/8	1		8	56		159
53	0.5	14	14	1/4	1/4	4/4	2	1	1/8	1/8	1		9	63		160
107/2	0.5	14	14	3/8	3/8	4/4	2	1	1/8	1/8	1		8	56		161
54	0.5	14	14	1/2	1/2	4/4	2	1	1/8	1/8	1		12	48		162
109/2	0.5	14	14	5/8	5/8	4/4	2	1	1/8	1/8	1		8	56		163
55	0.5	14	14	3/4	3/4	4/4	2	1	1/8	1/8	1		9	63		164
111/2	0.5	14	14	7/8	7/8	4/4	2	1	1/8	1/8	1		8	56		165
56	0.5	15	15	0	0	4/4	2	1	1/8	1/8	1		12	48		169
56	2.0	15	15	0	0	4/4	1	1	1/2	1/2	1	-1	6	66		166
56	2.0	15	15	0	0	4/4	1	1	1/2	1/2	1	-1	8	68		166
113/2	0.5	15	15	1/8	1/8	4/4	2	1	1/8	1/8	1		8	56		170
57	0.5	15	15	1/4	1/4	4/4	2	1	1/8	1/8	1		9	63		171
115/2	0.5	15	15	3/8	3/8	4/4	2	1	1/8	1/8	1		8	56		172
58	0.5	15	15	1/2	1/2	4/4	2	1	1/8	1/8	1		7	49		173
58	1.0	15	15	1/2	1/2	4/4	1	1	1/4	1/4	1		6	66		167
58	1.0	15	15	1/2	1/2	4/4	1	1	1/4	1/4	1		3	69		167
117/2	0.5	15	15	5/8	5/8	4/4	2	1	1/8	1/8	1		3	57		174
59	0.5	15	15	3/4	3/4	4/4	2	1	1/8	1/8	1		4	64		175
59	1.0	15	15	3/4	3/4	4/4	1	1	1/4	1/4	1		4	76		168
59	1.0	15	15	3/4	3/4	4/4	1	1	1/4	1/4	1		8	80		168
119/2	0.5	15	15	7/8	7/8	4/4	2	1	1/8	1/8	1		3	57		176
60	0.5	16	16	0	0	4/4	2	1	1/8	1/8	1		12	48		180
60	2.0	16	16	0	0	4/4	1	1	1/2	1/2	1		6	66		177
60	2.0	16	16	0	0	4/4	1	1	1/2	1/2	1		8	68		177
121/2	0.5	16	16	1/8	1/8	4/4	2	1	1/8	1/8	1		8	56		181
61	0.5	16	16	1/4	1/4	4/4	2	1	1/8	1/8	1		9	63		182
123/2	0.5	16	16	3/8	3/8	4/4	2	1	1/8	1/8	1		8	56		183
62	0.5	16	16	1/2	1/2	4/4	2	1	1/8	1/8	1		5	47		184
62	1.0	16	16	1/2	1/2	4/4	1	1	1/4	1/4	1		2	62		178
62	1.0	16	16	1/2	1/2	4/4	1	1	1/4	1/4	1		6	66		178
125/2	0.5	16	16	5/8	5/8	4/4	2	1	1/8	1/8	1		4	52		185
63	0.5	16	16	3/4	3/4	4/4	2	1	1/8	1/8	1		8	56		186
63	0.5	16	16	3/4	3/4	4/4	2	1	1/8	1/8	1		2	62		186
63	1.0	16	16	3/4	3/4	4/4	1	1	1/4	1/4	1		7	73		179
63	1.0	16	16	3/4	3/4	4/4	1	1	1/4	1/4	1		4	76		179
127/2	0.5	16	16	7/8	7/8	4/4	2	1	1/8	1/8	1		4	52		187
64	0.5	17	17	0	0	4/4	2	1	1/8	1/8	1		3	45		191
64	1.0	17	17	0	0	4/4	1	1	1/4	1/4	1		7	61		188
64	1.0	17	17	0	0	4/4	1	1	1/4	1/4	1		4	64		188
129/2	0.5	17	17	1/8	1/8	4/4	2	1	1/8	1/8	1		4	52		192
65	0.5	17	17	1/4	1/4	4/4	2	1	1/8	1/8	1		7	61		193
131/2	0.5	17	17	3/8	3/8	4/4	2	1	1/8	1/8	1		4	52		194
66	0.5	17	17	1/2	1/2	4/4	2	1	1/8	1/8	1		6	42		195
66	1.0	17	17	1/2	1/2	4/4	1	1	1/4	1/4	1		5	59		189
66	1.0	17	17	1/2	1/2	4/4	1	1	1/4	1/4	1		9	63		189
133/2	0.5	17	17	5/8	5/8	4/4	2	1	1/8	1/8	1		5	47		196
67	0.5	17	17	3/4	3/4	4/4	2	1	1/8	1/8	1		3	57		197
67	1.0	17	17	3/4	3/4	4/4	1	1	1/4	1/4	1		3	69		190
67	1.0	17	17	3/4	3/4	4/4	1	1	1/4	1/4	1		7	73		190
135/2	0.5	17	17	7/8	7/8	4/4	2	1	1/8	1/8	1		5	47		198
68	0.5	18	18	0	0	4/4	2	1	1/8	1/8	1		7	37		200
68	4.0	18	18	0	0	4/4	1	1	1	1	1	1	8	56		199
68	4.0	18	18	0	0	4/4	1	1	1	1	1	1	7	61		199
137/2	0.5	18	18	1/8	1/8	4/4	2	1	1/8	1/8	1		8	44		201
69	0.5	18	18	1/4	1/4	4/4	2	1	1/8	1/8	1		11	53		202
139/2	0.5	18	18	3/8	3/8	4/4	2	1	1/8	1/8	1		8	44		203
70	0.5	18	18	1/2	1/2	4/4	2	1	1/8	1/8	1		7	37		204
141/2	0.5	18	18	5/8	5/8	4/4	2	1	1/8	1/8	1		8	44		205
71	0.5	18	18	3/4	3/4	4/4	2	1	1/8	1/8	1		11	53		206
143/2	0.5	18	18	7/8	7/8	4/4	2	1	1/8	1/8	1		8	44		207
72	0.5	19	19	0	0	4/4	2	1	1/8	1/8	1		7	37		211
72	2.0	19	19	0	0	4/4	1	1	1/2	1/2	1	-1	8	56		208
72	2.0	19	19	0	0	4/4	1	1	1/2	1/2	1	-1	7	61		208
145/2	0.5	19	19	1/8	1/8	4/4	2	1	1/8	1/8	1		8	44		212
73	0.5	19	19	1/4	1/4	4/4	2	1	1/8	1/8	1		11	53		213
147/2	0.5	19	19	3/8	3/8	4/4	2	1	1/8	1/8	1		8	44		214
74	0.5	19	19	1/2	1/2	4/4	2	1	1/8	1/8	1		5	47		215
74	1.0	19	19	1/2	1/2	4/4	1	1	1/4	1/4	1		5	59		209
74	1.0	19	19	1/2	1/2	4/4	1	1	1/4	1/4	1		2	62		209
149/2	0.5	19	19	5/8	5/8	4/4	2	1	1/8	1/8	1		6	54		216
75	0.5	19	19	3/4	3/4	4/4	2	1	1/8	1/8	1		3	57		217
75	1.0	19	19	3/4	3/4	4/4	1	1	1/4	1/4	1		6	66		210
75	1.0	19	19	3/4	3/4	4/4	1	1	1/4	1/4	1		3	69		210
151/2	0.5	19	19	7/8	7/8	4/4	2	1	1/8	1/8	1		7	61		218
76	0.5	20	20	0	0	4/4	2	1	1/8	1/8	1		4	52		223
76	2.0	20	20	0	0	4/4	1	1	1/2	1/2	1	1	4	64		219
76	2.0	20	20	0	0	4/4	1	1	1/2	1/2	1	1	8	68		219
153/2	0.5	20	20	1/8	1/8	4/4	2	1	1/8	1/8	1		5	59		224
77	0.5	20	20	1/4	1/4	4/4	2	1	1/8	1/8	1		2	62		225
155/2	0.5	20	20	3/8	3/8	4/4	2	1	1/8	1/8	1		5	59		226
78	0.5	20	20	1/2	1/2	4/4	2	1	1/8	1/8	1		4	52		227
78	0.5	20	20	1/2	1/2	4/4	1	1	1/8	1/8	1	-1	4	64		220
78	0.5	20	20	1/2	1/2	4/4	1	1	1/8	1/8	1	-1	8	68		220
157/2	0.5	20	20	5/8	5/8	4/4	2	1	1/8	1/8	1		5	59		228
157/2	0.5	20	20	5/8	5/8	4/4	1	1	1/8	1/8	1		6	66		221
157/2	0.5	20	20	5/8	5/8	4/4	1	1	1/8	1/8	1		3	69		221
79	0.5	20	20	3/4	3/4	4/4	2	1	1/8	1/8	1		4	52		229
79	1.0	20	20	3/4	3/4	4/4	1	1	1/4	1/4	1	1	8	68		222
79	1.0	20	20	3/4	3/4	4/4	1	1	1/4	1/4	1	1	5	71		222
159/2	0.5	20	20	7/8	7/8	4/4	2	1	1/8	1/8	1		5	47		230
80	0.5	21	21	0	0	4/4	2	1	1/8	1/8	1		4	40		235
80	1.0	21	21	0	0	4/4	1	1	1/4	1/4	1	-1	8	68		231
80	1.0	21	21	0	0	4/4	1	1	1/4	1/4	1	-1	5	71		231
161/2	0.5	21	21	1/8	1/8	4/4	2	1	1/8	1/8	1		5	47		236
81	0.5	21	21	1/4	1/4	4/4	2	1	1/8	1/8	1		4	52		237
81	1.0	21	21	1/4	1/4	4/4	1	1	1/4	1/4	1		3	69		232
81	1.0	21	21	1/4	1/4	4/4	1	1	1/4	1/4	1		7	73		232
163/2	0.5	21	21	3/8	3/8	4/4	2	1	1/8	1/8	1		8	56		238
82	0.5	21	21	1/2	1/2	4/4	2	1	1/8	1/8	1		5	47		239
82	1.0	21	21	1/2	1/2	4/4	1	1	1/4	1/4	1		5	59		233
82	1.0	21	21	1/2	1/2	4/4	1	1	1/4	1/4	1		2	62		233
165/2	0.5	21	21	5/8	5/8	4/4	2	1	1/8	1/8	1		6	54		240
83	0.5	21	21	3/4	3/4	4/4	2	1	1/8	1/8	1		3	57		241
83	1.0	21	21	3/4	3/4	4/4	1	1	1/4	1/4	1		6	66		234
83	1.0	21	21	3/4	3/4	4/4	1	1	1/4	1/4	1		3	69		234
167/2	0.5	21	21	7/8	7/8	4/4	2	1	1/8	1/8	1		7	61		242
84	0.5	22	22	0	0	4/4	2	1	1/8	1/8	1		4	52		247
84	2.0	22	22	0	0	4/4	1	1	1/2	1/2	1	1	4	64		243
84	2.0	22	22	0	0	4/4	1	1	1/2	1/2	1	1	8	68		243
169/2	0.5	22	22	1/8	1/8	4/4	2	1	1/8	1/8	1		5	59		248
85	0.5	22	22	1/4	1/4	4/4	2	1	1/8	1/8	1		2	62		249
171/2	0.5	22	22	3/8	3/8	4/4	2	1	1/8	1/8	1		5	59		250
86	0.5	22	22	1/2	1/2	4/4	2	1	1/8	1/8	1		4	52		251
86	0.5	22	22	1/2	1/2	4/4	1	1	1/8	1/8	1	-1	4	64		244
86	0.5	22	22	1/2	1/2	4/4	1	1	1/8	1/8	1	-1	8	68		244
173/2	0.5	22	22	5/8	5/8	4/4	2	1	1/8	1/8	1		5	59		252
173/2	0.5	22	22	5/8	5/8	4/4	1	1	1/8	1/8	1		6	66		245
173/2	0.5	22	22	5/8	5/8	4/4	1	1	1/8	1/8	1		3	69		245
87	0.5	22	22	3/4	3/4	4/4	2	1	1/8	1/8	1		4	52		253
87	1.0	22	22	3/4	3/4	4/4	1	1	1/4	1/4	1	1	8	68		246
87	1.0	22	22	3/4	3/4	4/4	1	1	1/4	1/4	1	1	5	71		246
175/2	0.5	22	22	7/8	7/8	4/4	2	1	1/8	1/8	1		5	47		254
88	0.5	23	23	0	0	4/4	2	1	1/8	1/8	1		4	40		259
88	1.0	23	23	0	0	4/4	1	1	1/4	1/4	1	-1	8	68		255
88	1.0	23	23	0	0	4/4	1	1	1/4	1/4	1	-1	5	71		255
177/2	0.5	23	23	1/8	1/8	4/4	2	1	1/8	1/8	1		5	47		260
89	0.5	23	23	1/4	1/4	4/4	2	1	1/8	1/8	1		4	52		261
89	1.0	23	23	1/4	1/4	4/4	1	1	1/4	1/4	1		4	64		256
89	1.0	23	23	1/4	1/4	4/4	1	1	1/4	1/4	1		8	68		256
179/2	0.5	23	23	3/8	3/8	4/4	2	1	1/8	1/8	1		8	56		262
90	0.5	23	23	1/2	1/2	4/4	2	1	1/8	1/8	1		5	47		263
90	1.0	23	23	1/2	1/2	4/4	1	1	1/4	1/4	1		6	66		257
90	1.0	23	23	1/2	1/2	4/4	1	1	1/4	1/4	1		3	69		257
181/2	0.5	23	23	5/8	5/8	4/4	2	1	1/8	1/8	1		4	52		264
91	0.5	23	23	3/4	3/4	4/4	2	1	1/8	1/8	1		2	62		265
91	1.0	23	23	3/4	3/4	4/4	1	1	1/4	1/4	1		8	68		258
91	1.0	23	23	3/4	3/4	4/4	1	1	1/4	1/4	1		5	71		258
183/2	0.5	23	23	7/8	7/8	4/4	2	1	1/8	1/8	1		4	52		266
92	0.5	24	24	0	0	4/4	2	1	1/8	1/8	1		3	45		275
92	2.0	24	24	0	0	4/4	1	2	1/2	1/2	1		1	67		273
92	2.0	24	24	0	0	4/4	1	2	1/2	1/2	1		5	71		273
92	0.6666666666666666	24	24	0	0	4/4	1	1	1/6	1/4	2/3		7	73		267
185/2	0.5	24	24	1/8	1/8	4/4	2	1	1/8	1/8	1		4	52		276
278/3	0.6666666666666666	24	24	1/6	1/6	4/4	1	1	1/6	1/4	2/3		7	73		268
93	0.5	24	24	1/4	1/4	4/4	2	1	1/8	1/8	1		3	57		277
280/3	0.6666666666666666	24	24	1/3	1/3	4/4	1	1	1/6	1/4	2/3		4	76		269
187/2	0.5	24	24	3/8	3/8	4/4	2	1	1/8	1/8	1		7	61		278
94	0.5	24	24	1/2	1/2	4/4	2	1	1/8	1/8	1		2	50		279
94	2.0	24	24	1/2	1/2	4/4	1	2	1/2	1/2	1		6	66		274
94	2.0	24	24	1/2	1/2	4/4	1	2	1/2	1/2	1		3	69		274
94	0.6666666666666666	24	24	1/2	1/2	4/4	1	1	1/6	1/4	2/3		7	73		270
189/2	0.5	24	24	5/8	5/8	4/4	2	1	1/8	1/8	1		3	57		280
284/3	0.6666666666666666	24	24	2/3	2/3	4/4	1	1	1/6	1/4	2/3		5	71		271
95	0.5	24	24	3/4	3/4	4/4	2	1	1/8	1/8	1		2	62		281
286/3	0.6666666666666666	24	24	5/6	5/6	4/4	1	1	1/6	1/4	2/3		7	73		272
191/2	0.5	24	24	7/8	7/8	4/4	2	1	1/8	1/8	1		3	57		282
96	0.5	25	25	0	0	4/4	2	1	1/8	1/8	1		6	54		287
96	2.0	25	25	0	0	4/4	1	2	1/2	1/2	1		4	64		286
96	2.0	25	25	0	0	4/4	1	2	1/2	1/2	1		6	66		286
96	1.0	25	25	0	0	4/4	1	1	1/4	1/4	1		3	69		283
193/2	0.5	25	25	1/8	1/8	4/4	2	1	1/8	1/8	1		3	57		288
97	0.5	25	25	1/4	1/4	4/4	2	1	1/8	1/8	1		7	61		289
97	1.0	25	25	1/4	1/4	4/4	1	1	1/4	1/4	1		7	73		284
195/2	0.5	25	25	3/8	3/8	4/4	2	1	1/8	1/8	1		3	57		290
98	0.5	25	25	1/2	1/2	4/4	2	1	1/8	1/8	1		5	47		291
98	2.0	25	25	1/2	1/2	4/4	1	1	1/2	1/2	1	1	2	62		285
98	2.0	25	25	1/2	1/2	4/4	1	1	1/2	1/2	1		3	69		285
